rank,username,totalM,content,created_at,date,time,display_name,favourites_count,followers_count,following_count,reblogs_count,replies_count,sensitive,sentiment,url,class
9,Reuters,14,"<p>New Zealand police suspended until morning the search for a high school student missing after getting into difficulty on a school trip to caves, as heavy rain and thunderstorms cause flash flooding and landslides in the country's North Island <a href=""https://reut.rs/42dxI98"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">reut.rs/42dxI98</span><span class=""invisible""></span></a>  <a href=""https://press.coop/tags/press"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>press</span></a></p>",2023-05-09 13:26:01+00:00,2023-05-09,3:26:01,Reuters :press:,0,1171,0,0,0,False,negative,https://press.coop/@Reuters/110338949856994876,mastodon
9,Reuters,14,"<p>New Zealand police suspended until morning the search for a high school student missing after getting into difficulty on a school trip to caves, as heavy rain and thunderstorms cause flash flooding and landslides in the country's North Island <a href=""https://reut.rs/42dxI98"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">reut.rs/42dxI98</span><span class=""invisible""></span></a>  <a href=""https://press.coop/tags/press"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>press</span></a></p>",2023-05-09 13:26:01+00:00,2023-05-09,3:26:01,Reuters :press:,0,1738,0,0,0,False,negative,https://press.coop/@Reuters/110338949856994876,mastodon
8,HamiltonsLive,12,"<p>BraveWords 🤘 DAVID ELLEFSON Thinks Its ""F***ing Pathetic"" That Former MEGADETH Bandmate DAVE MUSTAINE Is ""Still Bitching"" About His Dismissal From METALLICA - ""Fix Your S**t And Move On"": Former Megadeth bassist, David Ellefson, has declared his former band leader David Mustaine “fucking pathetic” for “still bitching” about his exit from Metallica 40 years down the road, reports Guitar.com. Asked about his… <a href=""http://dlvr.it/SnmNdw"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">dlvr.it/SnmNdw</span><span class=""invisible""></span></a> LinkInBio for More 🤘 <a href=""https://universeodon.com/tags/BraveWords"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>BraveWords</span></a> <a href=""https://universeodon.com/tags/HeavyMetal"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>HeavyMetal</span></a> <a href=""https://universeodon.com/tags/Metal"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Metal</span></a></p>",2023-05-09 13:44:03+00:00,2023-05-09,3:44:03,Bruce Hamilton,0,37,31,0,0,False,negative,https://universeodon.com/@HamiltonsLive/110339020768115893,mastodon
8,HamiltonsLive,12,"<p>MyGlobalMind 🤘 Liv Kristine – River of Diamons Vinyl Review: LIV KRISTINE is a Norwegian singer who is probably familiar among most music fans out there, because she has so far had a stunning career the past 30 years that took her in various directions, although most of the time she was part of the gothic and metal community, singing in bands like THEATRE OF TRAGEDY, LEAVES’ EYES and MIDNATTSOL, but meanwhile she… <a href=""http://dlvr.it/SnmPB4"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">dlvr.it/SnmPB4</span><span class=""invisible""></span></a> 👀 Bio Link 4 More 🤘 <a href=""https://universeodon.com/tags/Metal"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Metal</span></a> <a href=""https://universeodon.com/tags/HeavyMetal"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>HeavyMetal</span></a> <a href=""https://universeodon.com/tags/MyGlobalMind"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>MyGlobalMind</span></a></p>",2023-05-09 13:48:34+00:00,2023-05-09,3:48:34,Bruce Hamilton,0,50,41,0,0,False,positive,https://universeodon.com/@HamiltonsLive/110339038543406497,mastodon
8,HamiltonsLive,12,"<p>MyGlobalMind 🤘 Liv Kristine – River of Diamons Vinyl Review: LIV KRISTINE is a Norwegian singer who is probably familiar among most music fans out there, because she has so far had a stunning career the past 30 years that took her in various directions, although most of the time she was part of the gothic and metal community, singing in bands like THEATRE OF TRAGEDY, LEAVES’ EYES and MIDNATTSOL, but meanwhile she… <a href=""http://dlvr.it/SnmPB4"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">dlvr.it/SnmPB4</span><span class=""invisible""></span></a> 👀 Bio Link 4 More 🤘 <a href=""https://universeodon.com/tags/Metal"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Metal</span></a> <a href=""https://universeodon.com/tags/HeavyMetal"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>HeavyMetal</span></a> <a href=""https://universeodon.com/tags/MyGlobalMind"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>MyGlobalMind</span></a></p>",2023-05-09 13:48:34+00:00,2023-05-09,3:48:34,Bruce Hamilton,0,37,31,0,0,False,positive,https://universeodon.com/@HamiltonsLive/110339038543406497,mastodon
8,HamiltonsLive,12,"<p>MyGlobalMind 🤘 Martin Miller – Maze of My Mind Review: The Leipzig, Germany based multi-instrumentalist/singer/songwriter MARTIN MILLER kicks off his solo debut album Maze Of My Mind with the song Something New, which has an incredible sound that could be labelled as TOTO ish light Symphonic AOR rock with a lovely groovy approach, tempo changes, catchy hooks, a memorable melodic chorus, strong lead- and harmonyvocals… <a href=""http://dlvr.it/SnmPxb"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">dlvr.it/SnmPxb</span><span class=""invisible""></span></a> 👀 Bio Link 4 More 🤘 <a href=""https://universeodon.com/tags/Metal"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Metal</span></a> <a href=""https://universeodon.com/tags/HeavyMetal"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>HeavyMetal</span></a> <a href=""https://universeodon.com/tags/MyGlobalMind"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>MyGlobalMind</span></a></p>",2023-05-09 13:54:36+00:00,2023-05-09,3:54:36,Bruce Hamilton,0,50,41,0,0,False,positive,https://universeodon.com/@HamiltonsLive/110339062236024736,mastodon
8,HamiltonsLive,12,"<p>MyGlobalMind 🤘 Martin Miller – Maze of My Mind Review: The Leipzig, Germany based multi-instrumentalist/singer/songwriter MARTIN MILLER kicks off his solo debut album Maze Of My Mind with the song Something New, which has an incredible sound that could be labelled as TOTO ish light Symphonic AOR rock with a lovely groovy approach, tempo changes, catchy hooks, a memorable melodic chorus, strong lead- and harmonyvocals… <a href=""http://dlvr.it/SnmPxb"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">dlvr.it/SnmPxb</span><span class=""invisible""></span></a> 👀 Bio Link 4 More 🤘 <a href=""https://universeodon.com/tags/Metal"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Metal</span></a> <a href=""https://universeodon.com/tags/HeavyMetal"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>HeavyMetal</span></a> <a href=""https://universeodon.com/tags/MyGlobalMind"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>MyGlobalMind</span></a></p>",2023-05-09 13:54:36+00:00,2023-05-09,3:54:36,Bruce Hamilton,0,37,31,0,0,False,positive,https://universeodon.com/@HamiltonsLive/110339062236024736,mastodon
8,HamiltonsLive,12,"<p>Metal Sucks 🤘 Youtuber Slams “Sentient Bipedal Donut” Yngwie Malmsteen Over Copyright Strikes: Old-school guitarist, meet new-school guitarist. </p><p>The post Youtuber Slams “Sentient Bipedal Donut” Yngwie Malmsteen Over Copyright Strikes appeared first on MetalSucks. <a href=""http://dlvr.it/SnmR4w"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">dlvr.it/SnmR4w</span><span class=""invisible""></span></a> LinkInBio for More 🤘 <a href=""https://universeodon.com/tags/MetalSucks"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>MetalSucks</span></a> <a href=""https://universeodon.com/tags/HeavyMetal"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>HeavyMetal</span></a> <a href=""https://universeodon.com/tags/Metal"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Metal</span></a></p>",2023-05-09 14:04:07+00:00,2023-05-09,4:04:07,Bruce Hamilton,0,50,41,0,0,False,negative,https://universeodon.com/@HamiltonsLive/110339099697111797,mastodon
8,HamiltonsLive,12,"<p>Metal Sucks 🤘 Youtuber Slams “Sentient Bipedal Donut” Yngwie Malmsteen Over Copyright Strikes: Old-school guitarist, meet new-school guitarist. </p><p>The post Youtuber Slams “Sentient Bipedal Donut” Yngwie Malmsteen Over Copyright Strikes appeared first on MetalSucks. <a href=""http://dlvr.it/SnmR4w"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">dlvr.it/SnmR4w</span><span class=""invisible""></span></a> LinkInBio for More 🤘 <a href=""https://universeodon.com/tags/MetalSucks"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>MetalSucks</span></a> <a href=""https://universeodon.com/tags/HeavyMetal"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>HeavyMetal</span></a> <a href=""https://universeodon.com/tags/Metal"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Metal</span></a></p>",2023-05-09 14:04:07+00:00,2023-05-09,4:04:07,Bruce Hamilton,0,37,31,0,0,False,negative,https://universeodon.com/@HamiltonsLive/110339099697111797,mastodon
8,HamiltonsLive,12,"<p>Metal Underground 🤘 Desertfest London 2023: Day 1 Featuring Graveyard, Discharge &amp; Church Of Misery: In 2022, London hosted Desertfest for the first time in three years, as it made its triumphant return following the COVID pandemic. It was an incredible event with some of the best names in doom, stoner and desert rock and metal laying waste to Camden. Naturally then, coming back was high on the list of priorities… <a href=""http://dlvr.it/SnmJ8k"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">dlvr.it/SnmJ8k</span><span class=""invisible""></span></a> LinkInBio for More 🤘 <a href=""https://universeodon.com/tags/metalunderground"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>metalunderground</span></a> <a href=""https://universeodon.com/tags/heavymetal"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>heavymetal</span></a> <a href=""https://universeodon.com/tags/metal"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>metal</span></a></p>",2023-05-09 13:08:03+00:00,2023-05-09,3:08:03,Bruce Hamilton,0,37,31,0,0,False,positive,https://universeodon.com/@HamiltonsLive/110338879233096688,mastodon
